Product Name;Product ID;Category;Sub-Category;Sales
Electrix Architect's Clamp-On Swing Arm Lamp, Black;FUR-FU-10003664;Furniture;Furnishings;190.92
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";OFF-EN-10002986;Office Supplies;Envelopes;113.328
Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;FUR-BO-10002545;Furniture;Bookcases;5.323.992
Global Fabric Manager's Chair, Dark Gray;FUR-CH-10004218;Furniture;Chairs;212.058
Plantronics HL10 Handset Lifter;TEC-PH-10000486;Technology;Phones;371.168
Panasonic Kx-TS550;TEC-PH-10004093;Technology;Phones;147.168
Eldon Base for stackable storage shelf, platinum;OFF-ST-10003479;Office Supplies;Storage;77.88
Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;OFF-ST-10003282;Office Supplies;Storage;95.616
Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;TEC-AC-10000171;Technology;Accessories;45.98
Wilson Jones Leather-Like Binders with DublLock Round Rings;OFF-BI-10003291;Office Supplies;Binders;17.46
Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;OFF-ST-10001713;Office Supplies;Storage;211.96
ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive;TEC-AC-10002167;Technology;Accessories;45
LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;TEC-PH-10003988;Technology;Phones;21.8
C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;OFF-BI-10004410;Office Supplies;Binders;38.22
Avery 485;OFF-LA-10002762;Office Supplies;Labels;75.18
Longer-Life Soft White Bulbs;FUR-FU-10001706;Furniture;Furnishings;6.16
Global Leather Task Chair, Black;FUR-CH-10003061;Furniture;Chairs;89.99
Advantus Push Pins;OFF-FA-10000304;Office Supplies;Fasteners;15.26
AT&T CL83451 4-Handset Telephone;TEC-PH-10002447;Technology;Phones;1029.95
Home/Office Personal File Carts;OFF-ST-10000604;Office Supplies;Storage;208.56
Xerox 232;OFF-PA-10001569;Office Supplies;Paper;32.4
Novimex Turbo Task Chair;FUR-CH-10003968;Furniture;Chairs;319.41
Array Parchment Paper, Assorted Colors;OFF-PA-10000587;Office Supplies;Paper;14.56
ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive;TEC-AC-10002167;Technology;Accessories;30
Plastic Binding Combs;OFF-BI-10001460;Office Supplies;Binders;48.48
Prang Dustless Chalk Sticks;OFF-AR-10001868;Office Supplies;Art;1.68
Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;TEC-AC-10004633;Technology;Accessories;13.98
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";OFF-BI-10001078;Office Supplies;Binders;25.824
Xerox 1943;OFF-PA-10003892;Office Supplies;Paper;146.73
Luxo Economy Swing Arm Lamp;FUR-FU-10000397;Furniture;Furnishings;79.76
Global Value Mid-Back Manager's Chair, Gray;FUR-CH-10001146;Furniture;Chairs;213.115
Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;OFF-AR-10002671;Office Supplies;Art;1.113.024
netTALK DUO VoIP Telephone Service;TEC-PH-10002726;Technology;Phones;167.968
Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;OFF-PA-10000482;Office Supplies;Paper;75.88
Avery Binding System Hidden Tab Executive Style Index Sets;OFF-BI-10004654;Office Supplies;Binders;4.616
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";OFF-PA-10004675;Office Supplies;Paper;19.05
High-Back Leather Manager's Chair;FUR-CH-10000513;Furniture;Chairs;831.936
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";FUR-FU-10003708;Furniture;Furnishings;97.04
Safco Industrial Wire Shelving System;OFF-ST-10004123;Office Supplies;Storage;72.784
Economy Binders;OFF-BI-10004182;Office Supplies;Binders;1.248
"6"" Cubicle Wall Clock, Black";FUR-FU-10000260;Furniture;Furnishings;9.708
SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;OFF-ST-10000615;Office Supplies;Storage;27.24
Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;FUR-FU-10003194;Furniture;Furnishings;19.3
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";OFF-AP-10002118;Office Supplies;Appliances;208.16
Avery Heavy-Duty EZD  Binder With Locking Rings;OFF-BI-10002309;Office Supplies;Binders;16.74
Premium Writing Pencils, Soft, #2 by Central Association for the Blind;OFF-AR-10002053;Office Supplies;Art;14.9
Sortfiler Multipurpose Personal File Organizer, Black;OFF-ST-10002370;Office Supplies;Storage;21.39
Jet-Pak Recycled Peel 'N' Seal Padded Mailers;OFF-EN-10000927;Office Supplies;Envelopes;200.984
Safco Industrial Wire Shelving;OFF-ST-10003656;Office Supplies;Storage;230.376
Novimex Swivel Fabric Task Chair;FUR-CH-10000863;Furniture;Chairs;301.96
LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;TEC-AC-10001998;Technology;Accessories;19.99
Avery 511;OFF-LA-10000134;Office Supplies;Labels;6.16
Eldon Portable Mobile Manager;OFF-ST-10003442;Office Supplies;Storage;158.368
Turquoise Lead Holder with Pocket Clip;OFF-AR-10004930;Office Supplies;Art;20.1
Panasonic Kx-TS550;TEC-PH-10004093;Technology;Phones;73.584
Xerox 1995;OFF-PA-10000304;Office Supplies;Paper;6.48
Xerox 1999;OFF-PA-10003177;Office Supplies;Paper;12.96
"Seth Thomas 13 1/2"" Wall Clock";FUR-FU-10003799;Furniture;Furnishings;53.34
Ibico Standard Transparent Covers;OFF-BI-10002852;Office Supplies;Binders;32.96
Flexible Leather- Look Classic Collection Ring Binder;OFF-BI-10004738;Office Supplies;Binders;5.682
9-3/4 Diameter Round Wall Clock;FUR-FU-10000629;Furniture;Furnishings;96.53
Trimflex Flexible Post Binders;OFF-BI-10001721;Office Supplies;Binders;51.312
Fellowes Basic Home/Office Series Surge Protectors;OFF-AP-10000358;Office Supplies;Appliances;77.88
Avery Personal Creations Heavyweight Cards;OFF-PA-10003256;Office Supplies;Paper;64.624
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;TEC-AC-10001767;Technology;Accessories;95.976
Avery Hidden Tab Dividers for Binding Systems;OFF-BI-10002609;Office Supplies;Binders;1.788
Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);OFF-PA-10004040;Office Supplies;Paper;23.92
Logitech K350 2.4Ghz Wireless Keyboard;TEC-AC-10001552;Technology;Accessories;238.896
Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;FUR-FU-10004006;Furniture;Furnishings;102.36
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";OFF-BI-10002794;Office Supplies;Binders;36.882
Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;TEC-AC-10003499;Technology;Accessories;74.112
Speck Products Candyshell Flip Case;TEC-PH-10002844;Technology;Phones;27.992
Newell Chalk Holder;OFF-AR-10000390;Office Supplies;Art;3.304
LogitechÂ Gaming G510s - Keyboard;TEC-AC-10000844;Technology;Accessories;339.96
Magnifier Swing Arm Lamp;FUR-FU-10001934;Furniture;Furnishings;41.96
Hunt PowerHouse Electric Pencil Sharpener, Blue;OFF-AR-10000380;Office Supplies;Art;75.96
"Avery Durable Plastic 1"" Binders";OFF-BI-10003981;Office Supplies;Binders;27.24
OIC Colored Binder Clips, Assorted Sizes;OFF-FA-10000621;Office Supplies;Fasteners;40.096
Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;OFF-EN-10002600;Office Supplies;Envelopes;4.72
Xerox 1921;OFF-PA-10004965;Office Supplies;Paper;23.976
Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;OFF-EN-10002504;Office Supplies;Envelopes;130.464
Hon Racetrack Conference Tables;FUR-TA-10001768;Furniture;Tables;787.53
GBC DocuBind 300 Electric Binding Machine;OFF-BI-10003650;Office Supplies;Binders;157.794
Artistic Insta-Plaque;FUR-FU-10002157;Furniture;Furnishings;47.04
DXL Angle-View Binders with Locking Rings by Samsill;OFF-BI-10003910;Office Supplies;Binders;30.84
Companion Letter/Legal File, Black;OFF-ST-10000777;Office Supplies;Storage;226.56
Globe Weis Peel & Seel First Class Envelopes;OFF-EN-10002500;Office Supplies;Envelopes;115.02
KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;TEC-PH-10003875;Technology;Phones;68.04
Global Deluxe High-Back Manager's Chair;FUR-CH-10004063;Furniture;Chairs;600.558
Bevis 44 x 96 Conference Tables;FUR-TA-10004534;Furniture;Tables;617.7
Avery Durable Slant Ring Binders, No Labels;OFF-BI-10003274;Office Supplies;Binders;2.388
Trav-L-File Heavy-Duty Shuttle II, Black;OFF-ST-10002974;Office Supplies;Storage;243.992
Global Task Chair, Black;FUR-CH-10001146;Furniture;Chairs;81.424
Eldon Cleatmat Plus Chair Mats for High Pile Carpets;FUR-FU-10003773;Furniture;Furnishings;238.56
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;TEC-PH-10002293;Technology;Phones;59.97
Xerox 1916;OFF-PA-10002377;Office Supplies;Paper;78.304
Staples;OFF-FA-10002780;Office Supplies;Fasteners;21.456
Xerox 195;OFF-PA-10001804;Office Supplies;Paper;20.04
Xerox 1880;OFF-PA-10001736;Office Supplies;Paper;35.44
Sanford Colorific Colored Pencils, 12/Box;OFF-AR-10001149;Office Supplies;Art;11.52
Ideal Clamps;OFF-FA-10002988;Office Supplies;Fasteners;4.02
GBC Wire Binding Strips;OFF-BI-10004781;Office Supplies;Binders;76.176
Fiskars Softgrip Scissors;OFF-SU-10001218;Office Supplies;Supplies;65.88
Longer-Life Soft White Bulbs;FUR-FU-10001706;Furniture;Furnishings;43.12
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";FUR-FU-10004848;Furniture;Furnishings;82.8
Newell 343;OFF-AR-10000940;Office Supplies;Art;8.82
Convenience Packs of Business Envelopes;OFF-EN-10004030;Office Supplies;Envelopes;10.86
Xerox 1911;OFF-PA-10004327;Office Supplies;Paper;143.7
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;OFF-AP-10001058;Office Supplies;Appliances;839.43
Safco Industrial Wire Shelving;OFF-ST-10003656;Office Supplies;Storage;671.93
"Seth Thomas 14"" Putty-Colored Wall Clock";FUR-FU-10000521;Furniture;Furnishings;93.888
Plantronics CordlessÂ Phone HeadsetÂ with In-line Volume - M214C;TEC-PH-10000215;Technology;Phones;384.45
Anker Astro 15000mAh USB Portable Charger;TEC-PH-10001448;Technology;Phones;149.97
Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;FUR-CH-10000454;Furniture;Chairs;1951.84
GBC Prestige Therm-A-Bind Covers;OFF-BI-10002735;Office Supplies;Binders;171.55
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;OFF-AP-10000326;Office Supplies;Appliances;157.92
Jabra BIZ 2300 Duo QD Duo CordedÂ Headset;TEC-PH-10001254;Technology;Phones;203.184
Southworth 25% Cotton Antique Laid Paper & Envelopes;OFF-PA-10001950;Office Supplies;Paper;58.38
Xerox 1883;OFF-PA-10002254;Office Supplies;Paper;105.52
Tenex Personal Project File with Scoop Front Design, Black;OFF-ST-10001590;Office Supplies;Storage;80.88
Newell 311;OFF-AR-10001547;Office Supplies;Art;6.63
Global Deluxe High-Back Manager's Chair;FUR-CH-10004063;Furniture;Chairs;457.568
Avery 519;OFF-LA-10002475;Office Supplies;Labels;14.62
Avaya 5420 Digital phone;TEC-PH-10004536;Technology;Phones;944.93
Xerox 1920;OFF-PA-10002751;Office Supplies;Paper;5.98
Lenovo 17-Key USB Numeric Keypad;TEC-AC-10003657;Technology;Accessories;54.384
Staple envelope;OFF-EN-10001990;Office Supplies;Envelopes;28.4
Wilson Jones International Size A4 Ring Binders;OFF-BI-10004002;Office Supplies;Binders;27.68
BIC Brite Liner Highlighters;OFF-AR-10004441;Office Supplies;Art;9.936
Lexmark MX611dhe Monochrome Laser Printer;TEC-MA-10000822;Technology;Machines;8.159.952
Space Solutions HD Industrial Steel Shelving.;OFF-ST-10000991;Office Supplies;Storage;275.928
SAFCO Arco Folding Chair;FUR-CH-10004287;Furniture;Chairs;1740.06
Sanford Liquid Accent Highlighters;OFF-AR-10002656;Office Supplies;Art;32.064
Kensington 7 Outlet MasterPiece Power Center;OFF-AP-10002518;Office Supplies;Appliances;177.98
JBL Micro Wireless Portable Bluetooth Speaker;TEC-PH-10003931;Technology;Phones;143.976
Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6â€ x 11â€;OFF-PA-10000659;Office Supplies;Paper;20.94
Xerox 1913;OFF-PA-10001144;Office Supplies;Paper;110.96
Global Value Steno Chair, Gray;FUR-CH-10003817;Furniture;Chairs;340.144
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;OFF-AP-10000891;Office Supplies;Appliances;52.448
Avery 51;OFF-LA-10003148;Office Supplies;Labels;20.16
Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;OFF-AP-10002684;Office Supplies;Appliances;97.264
Padded Folding Chairs, Black, 4/Carton;FUR-CH-10004698;Furniture;Chairs;396.802
Acme Rosewood Handle Letter Opener;OFF-SU-10002189;Office Supplies;Supplies;15.88
Sanford Colorific Eraseable Coloring Pencils, 12 Count;OFF-AR-10001940;Office Supplies;Art;3.28
Tenex File Box, Personal Filing Tote with Lid, Black;OFF-ST-10003455;Office Supplies;Storage;24.816
ImationÂ Secure+ Hardware Encrypted USB 2.0Â Flash Drive;TEC-AC-10004659;Technology;Accessories;
AT&T TR1909W;TEC-PH-10003273;Technology;Phones;503.96
Nokia Lumia 521 (T-Mobile);TEC-PH-10004896;Technology;Phones;149.95
HP Standard 104 key PS/2 Keyboard;TEC-AC-10002345;Technology;Accessories;29
Avery Poly Binder Pockets;OFF-BI-10001890;Office Supplies;Binders;7.16
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;TEC-AC-10002323;Technology;Accessories;176.8
Personal Filing Tote with Lid, Black/Gray;OFF-ST-10001328;Office Supplies;Storage;37.224
Southworth 25% Cotton Antique Laid Paper & Envelopes;OFF-PA-10001950;Office Supplies;Paper;20.016
Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;FUR-BO-10002613;Furniture;Bookcases;899.136
I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;TEC-PH-10001552;Technology;Phones;71.76
Xerox 205;OFF-PA-10000061;Office Supplies;Paper;51.84
Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;FUR-BO-10002545;Furniture;Bookcases;626.352
4009 Highlighters by Sanford;OFF-AR-10003514;Office Supplies;Art;19.9
Poly String Tie Envelopes;OFF-EN-10001509;Office Supplies;Envelopes;14.28
Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;OFF-AR-10004685;Office Supplies;Art;7.408
Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;OFF-AR-10004027;Office Supplies;Art;6.048
Decoflex Hanging Personal Folder File;OFF-ST-10001414;Office Supplies;Storage;46.26
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";OFF-BI-10000343;Office Supplies;Binders;2.946
Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;OFF-PA-10002749;Office Supplies;Paper;16.056
Southworth 25% Cotton Linen-Finish Paper & Envelopes;OFF-PA-10002666;Office Supplies;Paper;21.744
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;FUR-TA-10004289;Furniture;Tables;218.75
Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;OFF-AP-10003622;Office Supplies;Appliances;2.6
Eureka Sanitaire  Commercial Upright;OFF-AP-10003217;Office Supplies;Appliances;66.284
Eldon 200 Class Desk Accessories, Burgundy;FUR-FU-10002960;Furniture;Furnishings;35.168
Nortel Business Series Terminal T7208 Digital phone;TEC-PH-10001918;Technology;Phones;444.768
Tennsco Lockers, Gray;OFF-ST-10000642;Office Supplies;Storage;83.92
Panasonic KX-TG6844B Expandable Digital Cordless Telephone;TEC-PH-10001700;Technology;Phones;131.98
Avery Durable Slant Ring Binders, No Labels;OFF-BI-10003274;Office Supplies;Binders;15.92
Advantus Push Pins, Aluminum Head;OFF-FA-10000134;Office Supplies;Fasteners;52.29
Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;OFF-ST-10001522;Office Supplies;Storage;91.99
Memorex Micro Travel Drive 8 GB;TEC-AC-10001266;Technology;Accessories;20.8
Avery 505;OFF-LA-10004544;Office Supplies;Labels;23.68
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine;FUR-BO-10004695;Furniture;Bookcases;452.45
Speck Products Candyshell Flip Case;TEC-PH-10002844;Technology;Phones;62.982
Cisco 9971 IP Video Phone Charcoal;TEC-MA-10000864;Technology;Machines;1188
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive;TEC-AC-10000109;Technology;Accessories;89.584
Personal Filing Tote with Lid, Black/Gray;OFF-ST-10001328;Office Supplies;Storage;93.06
Adtran 1202752G1;TEC-PH-10002563;Technology;Phones;302.376
OIC Bulk Pack Metal Binder Clips;OFF-FA-10000585;Office Supplies;Fasteners;5.584
While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle;OFF-PA-10004000;Office Supplies;Paper;22.704
Ibico Standard Transparent Covers;OFF-BI-10002852;Office Supplies;Binders;19.776
"Executive Impressions 14"" Two-Color Numerals Wall Clock";FUR-FU-10000087;Furniture;Furnishings;72.704
Swingline SM12-08 MicroCut Jam Free Shredder;TEC-MA-10001148;Technology;Machines;479.988
Stanley Bostitch Contemporary Electric Pencil Sharpeners;OFF-AR-10001958;Office Supplies;Art;27.168
Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;OFF-AR-10001026;Office Supplies;Art;2.2
Bevis 36 x 72 Conference Tables;FUR-TA-10003748;Furniture;Tables;622.45
Rogers Deluxe File Chest;OFF-ST-10002485;Office Supplies;Storage;21.98
Global Low Back Tilter Chair;FUR-CH-10004860;Furniture;Chairs;161.568
Global Push Button Manager's Chair, Indigo;FUR-CH-10004477;Furniture;Chairs;389.696
GBC Instant Index System for Binding Systems;OFF-BI-10001679;Office Supplies;Binders;18.648
Bush Advantage Collection Round Conference Table;FUR-TA-10001705;Furniture;Tables;233.86
Bretford Rectangular Conference Table Tops;FUR-TA-10003473;Furniture;Tables;6.206.145
GBC Instant Index System for Binding Systems;OFF-BI-10001679;Office Supplies;Binders;5.328
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";FUR-FU-10004017;Furniture;Furnishings;258.072
LogitechÂ P710e Mobile Speakerphone;TEC-AC-10003832;Technology;Accessories;617.976
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);OFF-PA-10002479;Office Supplies;Paper;10.56
Xerox 1957;OFF-PA-10003349;Office Supplies;Paper;25.92
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;FUR-FU-10000576;Furniture;Furnishings;419.68
Staple-based wall hangings;FUR-FU-10004351;Furniture;Furnishings;11.688
PureGear Roll-On Screen Protector;TEC-PH-10000011;Technology;Phones;31.984
KI Conference Tables;FUR-TA-10002607;Furniture;Tables;177.225
Eldon 100 Class Desk Accessories;FUR-FU-10002505;Furniture;Furnishings;4.044
Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;OFF-AR-10004685;Office Supplies;Art;7.408
Global Deluxe High-Back Manager's Chair;FUR-CH-10004063;Furniture;Chairs;2001.86
Safco Steel Mobile File Cart;OFF-ST-10002276;Office Supplies;Storage;166.72
Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;OFF-PA-10004082;Office Supplies;Paper;47.88
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;OFF-AP-10002945;Office Supplies;Appliances;1503.25
Xerox 205;OFF-PA-10000061;Office Supplies;Paper;25.92
Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;FUR-CH-10002965;Furniture;Chairs;321.568
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";OFF-PA-10004569;Office Supplies;Paper;7.61
LogitechÂ P710e Mobile Speakerphone;TEC-AC-10003832;Technology;Accessories;3347.37
Fellowes Personal Hanging Folder Files, Navy;OFF-ST-10001228;Office Supplies;Storage;80.58
Tyvek Side-Opening Peel & Seel Expanding Envelopes;OFF-EN-10003296;Office Supplies;Envelopes;361.92
Eldon 100 Class Desk Accessories;FUR-FU-10002505;Furniture;Furnishings;12.132
"Belkin 19"" Vented Equipment Shelf, Black";OFF-ST-10004804;Office Supplies;Storage;82.368
Tenex Personal Project File with Scoop Front Design, Black;OFF-ST-10001590;Office Supplies;Storage;53.92
Logitech Mobile Speakerphone P710e -Â speaker phone;TEC-PH-10001580;Technology;Phones;647.904
Sabrent 4-Port USB 2.0 Hub;TEC-AC-10000290;Technology;Accessories;20.37
Safco Industrial Shelving;OFF-ST-10002790;Office Supplies;Storage;221.55
Acco 3-Hole Punch;OFF-BI-10003460;Office Supplies;Binders;17.52
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac;OFF-AP-10002203;Office Supplies;Appliances;1.624
Lexmark MX611dhe Monochrome Laser Printer;TEC-MA-10000822;Technology;Machines;3.059.982
Xerox WorkCentre 6505DN Laser Multifunction Printer;TEC-MA-10003353;Technology;Machines;2.519.958
Cisco Small Business SPA 502G VoIP phone;TEC-PH-10001433;Technology;Phones;328.224
Microsoft Sculpt Comfort Mouse;TEC-AC-10004469;Technology;Accessories;79.9
Quartet Omega Colored Chalk, 12/Pack;OFF-AR-10003602;Office Supplies;Art;14.016
Bagged Rubber Bands;OFF-FA-10003472;Office Supplies;Fasteners;7.56
Safco Commercial Shelving;OFF-ST-10004180;Office Supplies;Storage;37.208
Recycled Interoffice Envelopes with String and Button Closure, 10 x 13;OFF-EN-10004386;Office Supplies;Envelopes;57.576
Adjustable Depth Letter/Legal Cart;OFF-ST-10003208;Office Supplies;Storage;725.84
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;TEC-AC-10003628;Technology;Accessories;209.93
Regeneration Desk Collection;FUR-FU-10003274;Furniture;Furnishings;5.28
Presstex Flexible Ring Binders;OFF-BI-10002557;Office Supplies;Binders;10.92
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled";OFF-PA-10002615;Office Supplies;Paper;8.82
Newell 330;OFF-AR-10001427;Office Supplies;Art;5.98
Post-it â€œImportant Messageâ€ Note Pad, Neon Colors, 50 Sheets/Pad;OFF-PA-10000673;Office Supplies;Paper;11.648
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages";OFF-PA-10004470;Office Supplies;Paper;18.176
Eldon Simplefile Box Office;OFF-ST-10000876;Office Supplies;Storage;59.712
Avery 489;OFF-LA-10002043;Office Supplies;Labels;24.84
Round Ring Binders;OFF-BI-10004967;Office Supplies;Binders;2.08
Bose SoundLink Bluetooth Speaker;TEC-PH-10001760;Technology;Phones;1114.4
"Bevis Round Bullnose 29"" High Table Top";FUR-TA-10002903;Furniture;Tables;1038.84
Easy-staple paper;OFF-PA-10000474;Office Supplies;Paper;141.76
Microsoft Arc Touch Mouse;TEC-AC-10001956;Technology;Accessories;239.8
Xerox 216;OFF-PA-10004100;Office Supplies;Paper;31.104
GBC VeloBinder Electric Binding Machine;OFF-BI-10000778;Office Supplies;Binders;254.058
Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;OFF-AP-10002684;Office Supplies;Appliances;194.528
Premier Automatic Letter Opener;OFF-SU-10000646;Office Supplies;Supplies;961.48
Advantus SlideClip Paper Clips;OFF-FA-10002983;Office Supplies;Fasteners;19.096
Avery 512;OFF-LA-10004689;Office Supplies;Labels;18.496
Logitech Wireless Gaming Headset G930;TEC-AC-10002001;Technology;Accessories;255.984
